idaction;ID_SituD;ID_Dommage;ID_Mesure;Unité;Service;Site;Numéro;Risque;Situation dangereuse;Dommage;Statut;Responsable;Priorité finale;État;Mesure;Mention Spéciale;Périodicité;Prochain contrôle;N_pdf;Retour d'action
1 143;329;203;679;5. NAVIRE DCS;PATROUILLEUR GYPTIS;Secteur d'intervention du navire et de son équipage;33;Risques psychosociaux (RPS);Harcèlement moral, sexuel, agissements sexistes, discrimination, situations de violences verbales, physiques, sexuelles.;Fatigue, anxiété, désengagement social, troubles du sommeil, stress post-traumatique, tachycardie, sueurs, tremblements, crises, atteintes somatiques, angoisse, cauchemars, désinvestissement, absentéisme, isolement, perte de productivité, conflits avec les agents et troubles de la concentration, gestes suicidaires.;A planifier;GUY.F- LE GUILLOU.R;P2;A proposer;" - Diffusion des documents et sensibilisation par les affichages obligatoires,
 - Accès aux brochures contenant les informations relatives aux risques sur l'intranet lien: http://intra.dram-mediterranee.i2/les-risques-psychosociaux-r829.html
 - Sensibilisation et formation des managers à la gestion des conflits et à la lutte contre le sexisme au travail.";;Aucune;;;
1 144;330;204;680;5. NAVIRE DCS;PATROUILLEUR GYPTIS;Secteur d'intervention du navire et de son équipage;3;Risque Chimique;Absence de suivi de traitement des déchets dangereux & des déchets POP (Polluants Organiques Persistants).;Déchets pouvant génerer une nuisance à l'Homme et/où l'environnement selon les élements composants le produit.;A planifier;GUY.F- LE GUILLOU.R;P2;A proposer;"- Possiblité de fusionner les fichers déjà existants du suivi de la traçabilité des dechets dangereux avec la plateforme ""Trackdéchets"" pour être conforme à la règlementation au 1er janvier 2023,
- Information ""Trackdéchets"" disponible sur l'intranet : http://intra.dram-mediterranee.i2/tracabilite-des-dechets-dangereux-a2182.html";;6 mois;13/10/2023;;
1 145;331;8;681;5. NAVIRE DCS;PATROUILLEUR GYPTIS;Secteur d'intervention du navire et de son équipage;41;Risque lié au poste en télétravail;"- Mauvaise ergonomie (TMS dûs à la posture, la taille d'écran et l'ajustement du siège..),
- L’exposition importante aux écrans de visualisation (et en particulier à la lumière bleue),
- La diminution de l’exposition à la lumière naturelle au cours de la journée (voir risque 28 lié au travail sur écran),
- Endormissements et réveils plus tardifs,
- La baisse de la pratique de l’activité physique,
- L’augmentation de la charge de travail et l’enchaînement de longues journées de travail,
- L’accès plus complexe aux informations (reporting du travail),
- Les problèmes techniques lors de l’utilisation des outils numériques (voir risque 29 lié aux conditions de travail particulières: horaires décalés, astreinte),
- La complexification des interactions sociales nécessaires à la réalisation du travail,
- L’érosion des moments de convivialité, 
- L’isolement du collectif, la perte du sentiment d’appartenance ; le contrôle et les actions de reporting du travail à distance excessifs,
- L’isolement et le manque de soutien face au travail et aux problèmes éventuels,
- Le questionnement sur le sens du travail,
- La porosité entre la sphère professionnelle et la sphère privée (voir risques 33 psychosociaux: stresse, violence morale...).";" - Baisse des performances visuelles, sensation de lourdeur des globes oculaires, rougeurs, picotements, éblouissements, une myopie temporaire, les yeux secs, des maux de tête,
 - Troubles musculosquelettiques (TMS): contraintes posturales (épaules, coudes, poignets…) et du rachis (cervical, dorsal, lombaire).
 - Pathologies cardiovasculaires (hypertension artérielle, insuffisance cardiaque…),
 - Troubles métaboliques dù à la sédentarité (pathologies, maladies, obésité, dépression…).";A contrôler;GUY.F- LE GUILLOU.R;P2;A proposer;"- Repérer les écarts dans la maîtrise des outils numériques au sein des équipes et former ceux qui en ont besoin.
- Identifier les éventuels sentiments d’inégalité ou d’iniquité de traitement dans l’accès au télétravail, dans la répartition de la charge de travail et échanger pour lever les incompréhensions.
- Organiser régulièrement des réunions d’équipe au complet, dans la mesure du possible en présentiel.
- Consulter la brochure d'information accessible sur l'intranet concernant les risques du télétravail, le lien: 
http://intra.dirm-mediterranee.e2.rie.gouv.fr/IMG/pdf/teletravail_dirmmed1_cle79ff51.pdf";;Aucune;;;
1 146;329;203;675;6. CSN;CSN PACA Corse et Occitanie;Locaux-bureaux tous CSN;33;Risques psychosociaux (RPS);Harcèlement moral, sexuel, agissements sexistes, discrimination, situations de violences verbales, physiques, sexuelles.;Fatigue, anxiété, désengagement social, troubles du sommeil, stress post-traumatique, tachycardie, sueurs, tremblements, crises, atteintes somatiques, angoisse, cauchemars, désinvestissement, absentéisme, isolement, perte de productivité, conflits avec les agents et troubles de la concentration, gestes suicidaires.;En cours;MARTINEZ.P JEHANNO.P;P2;Existante;"- Affichages obligatoires sur certains site, 
 - Remontées hiérarchiques, possibilité de s'orienter vers le médecin de prévention ou les ASS qui peuvent proposer des mesures individuelles concernant la situation du salarié victime,
 - Possibilité de faire des remontées par le registre santé sécurité au travail sur l'intranet lien: http://intra.dirm-mediterranee.e2.rie.gouv.fr/saisie-d-une-remarque-a1849.html";;Aucune;;;
1 147;330;204;676;6. CSN;CSN PACA Corse et Occitanie;Locaux-bureaux tous CSN;3;Risque Chimique;Absence de suivi de traitement des déchets dangereux & des déchets POP (Polluants Organiques Persistants).;Déchets pouvant génerer une nuisance à l'Homme et/où l'environnement selon les élements composants le produit.;A contrôler;MARTINEZ.P JEHANNO.P;P2;Existante;"Informations accessibles sur la plateforme TRACKDECHETS par obligation règlementaire conformément au décret 2021-321 relatif à la traçabilité des déchets dangereux, applicable au 1er janvier 2022
 lien: https://trackdechets.beta.gouv.fr/";;6 mois;13/10/2023;;
1 148;331;8;677;6. CSN;CSN PACA Corse et Occitanie;Locaux-bureaux tous CSN;41;Risque lié au poste en télétravail;"- Mauvaise ergonomie (TMS dûs à la posture, la taille d'écran et l'ajustement du siège..),
- L’exposition importante aux écrans de visualisation (et en particulier à la lumière bleue),
- La diminution de l’exposition à la lumière naturelle au cours de la journée (voir risque 28 lié au travail sur écran),
- Endormissements et réveils plus tardifs,
- La baisse de la pratique de l’activité physique,
- L’augmentation de la charge de travail et l’enchaînement de longues journées de travail,
- L’accès plus complexe aux informations (reporting du travail),
- Les problèmes techniques lors de l’utilisation des outils numériques (voir risque 29 lié aux conditions de travail particulières: horaires décalés, astreinte),
- La complexification des interactions sociales nécessaires à la réalisation du travail,
- L’érosion des moments de convivialité, 
- L’isolement du collectif, la perte du sentiment d’appartenance ; le contrôle et les actions de reporting du travail à distance excessifs,
- L’isolement et le manque de soutien face au travail et aux problèmes éventuels,
- Le questionnement sur le sens du travail,
- La porosité entre la sphère professionnelle et la sphère privée (voir risques 33 psychosociaux: stresse, violence morale...).";" - Baisse des performances visuelles, sensation de lourdeur des globes oculaires, rougeurs, picotements, éblouissements, une myopie temporaire, les yeux secs, des maux de tête,
 - Troubles musculosquelettiques (TMS): contraintes posturales (épaules, coudes, poignets…) et du rachis (cervical, dorsal, lombaire).
 - Pathologies cardiovasculaires (hypertension artérielle, insuffisance cardiaque…),
 - Troubles métaboliques dù à la sédentarité (pathologies, maladies, obésité, dépression…).";En cours;MARTINEZ.P JEHANNO.P;P2;Existante;"  - Possibilité de s'orienter vers le médecin de prévention et / où vers le pôle de prévention en lien avec le service informatique pour une demande d'adaptation des postes de travail et  fourniture de matériels informatiques et bureautiques (écran, souris, repose pieds...).
 - Accès à distance aux applicatifs, aux ressources et aux données disponibles habituellement sur site, dans le respect du droit à la déconnexion,
- signal d'indication hors horaire dans la messagerie mélanie2.
- Assistance à distance pour l’usage des outils informatiques et de communication.
 - Précautions à prendre communiquées en matière de sécurité des données.
 - Brochure d'information accessible sur l'intranet concernant les risques du télétravail, le lien: http://intra.dirm-mediterranee.e2.rie.gouv.fr/IMG/pdf/teletravail_dirmmed1_cle79ff51.pdf
 - Installation (dans la mesure du possible) dans un espace de travail dédié (ou mieux dans une pièce isolée) afin de ne pas être dérangé, aménagement de poste de travail pour travailler dans de bonnes conditions et de façon à limiter les risques de troubles musculosquelettiques.
 - Pauses régulières afin de permettre des phases de repos visuel, de bouger, et ainsi d'éviter de maintenir la posture assise trop longtemps (pauses de cinq minutes toutes les heures par exemple).";;Aucune;;;
1 149;329;203;679;6. CSN;CSN PACA Corse et Occitanie;Locaux-bureaux tous CSN;33;Risques psychosociaux (RPS);Harcèlement moral, sexuel, agissements sexistes, discrimination, situations de violences verbales, physiques, sexuelles.;Fatigue, anxiété, désengagement social, troubles du sommeil, stress post-traumatique, tachycardie, sueurs, tremblements, crises, atteintes somatiques, angoisse, cauchemars, désinvestissement, absentéisme, isolement, perte de productivité, conflits avec les agents et troubles de la concentration, gestes suicidaires.;A planifier;MARTINEZ.P JEHANNO.P;P2;A proposer;" - Diffusion des documents et sensibilisation par les affichages obligatoires,
 - Accès aux brochures contenant les informations relatives aux risques sur l'intranet lien: http://intra.dram-mediterranee.i2/les-risques-psychosociaux-r829.html
 - Sensibilisation et formation des managers à la gestion des conflits et à la lutte contre le sexisme au travail.";;Aucune;;;
1 150;330;204;680;6. CSN;CSN PACA Corse et Occitanie;Locaux-bureaux tous CSN;3;Risque Chimique;Absence de suivi de traitement des déchets dangereux & des déchets POP (Polluants Organiques Persistants).;Déchets pouvant génerer une nuisance à l'Homme et/où l'environnement selon les élements composants le produit.;A planifier;MARTINEZ.P JEHANNO.P;P2;A proposer;"- Possiblité de fusionner les fichers déjà existants du suivi de la traçabilité des dechets dangereux avec la plateforme ""Trackdéchets"" pour être conforme à la règlementation au 1er janvier 2023,
- Information ""Trackdéchets"" disponible sur l'intranet : http://intra.dram-mediterranee.i2/tracabilite-des-dechets-dangereux-a2182.html";;6 mois;13/10/2023;;
1 151;331;8;681;6. CSN;CSN PACA Corse et Occitanie;Locaux-bureaux tous CSN;41;Risque lié au poste en télétravail;"- Mauvaise ergonomie (TMS dûs à la posture, la taille d'écran et l'ajustement du siège..),
- L’exposition importante aux écrans de visualisation (et en particulier à la lumière bleue),
- La diminution de l’exposition à la lumière naturelle au cours de la journée (voir risque 28 lié au travail sur écran),
- Endormissements et réveils plus tardifs,
- La baisse de la pratique de l’activité physique,
- L’augmentation de la charge de travail et l’enchaînement de longues journées de travail,
- L’accès plus complexe aux informations (reporting du travail),
- Les problèmes techniques lors de l’utilisation des outils numériques (voir risque 29 lié aux conditions de travail particulières: horaires décalés, astreinte),
- La complexification des interactions sociales nécessaires à la réalisation du travail,
- L’érosion des moments de convivialité, 
- L’isolement du collectif, la perte du sentiment d’appartenance ; le contrôle et les actions de reporting du travail à distance excessifs,
- L’isolement et le manque de soutien face au travail et aux problèmes éventuels,
- Le questionnement sur le sens du travail,
- La porosité entre la sphère professionnelle et la sphère privée (voir risques 33 psychosociaux: stresse, violence morale...).";" - Baisse des performances visuelles, sensation de lourdeur des globes oculaires, rougeurs, picotements, éblouissements, une myopie temporaire, les yeux secs, des maux de tête,
 - Troubles musculosquelettiques (TMS): contraintes posturales (épaules, coudes, poignets…) et du rachis (cervical, dorsal, lombaire).
 - Pathologies cardiovasculaires (hypertension artérielle, insuffisance cardiaque…),
 - Troubles métaboliques dù à la sédentarité (pathologies, maladies, obésité, dépression…).";A contrôler;MARTINEZ.P JEHANNO.P;P2;A proposer;"- Repérer les écarts dans la maîtrise des outils numériques au sein des équipes et former ceux qui en ont besoin.
- Identifier les éventuels sentiments d’inégalité ou d’iniquité de traitement dans l’accès au télétravail, dans la répartition de la charge de travail et échanger pour lever les incompréhensions.
- Organiser régulièrement des réunions d’équipe au complet, dans la mesure du possible en présentiel.
- Consulter la brochure d'information accessible sur l'intranet concernant les risques du télétravail, le lien: 
http://intra.dirm-mediterranee.e2.rie.gouv.fr/IMG/pdf/teletravail_dirmmed1_cle79ff51.pdf";;Aucune;;;
1 152;329;203;675;7. SSGM;SSGM-Méditerranée;Tous sites SSGM de Méditerranée (Agents hébergés) ;33;Risques psychosociaux (RPS);Harcèlement moral, sexuel, agissements sexistes, discrimination, situations de violences verbales, physiques, sexuelles.;Fatigue, anxiété, désengagement social, troubles du sommeil, stress post-traumatique, tachycardie, sueurs, tremblements, crises, atteintes somatiques, angoisse, cauchemars, désinvestissement, absentéisme, isolement, perte de productivité, conflits avec les agents et troubles de la concentration, gestes suicidaires.;En cours;Christophe DUPORT;P2;Existante;"- Affichages obligatoires sur certains site, 
 - Remontées hiérarchiques, possibilité de s'orienter vers le médecin de prévention ou les ASS qui peuvent proposer des mesures individuelles concernant la situation du salarié victime,
 - Possibilité de faire des remontées par le registre santé sécurité au travail sur l'intranet lien: http://intra.dirm-mediterranee.e2.rie.gouv.fr/saisie-d-une-remarque-a1849.html";;Aucune;;;
1 153;333;204;676;7. SSGM;SSGM-Méditerranée;Tous sites SSGM de Méditerranée (Agents hébergés) ;2;Risque Biologique;Absence de suivi de traitement des déchets d'activité de soins à risques infectieux (BSDASRI).;Déchets pouvant génerer une nuisance à l'Homme et/où l'environnement selon les élements composants le produit.;A contrôler;Christophe DUPORT;P2;Existante;"Informations accessibles sur la plateforme TRACKDECHETS par obligation règlementaire conformément au décret 2021-321 relatif à la traçabilité des déchets dangereux, applicable au 1er janvier 2022
 lien: https://trackdechets.beta.gouv.fr/";;6 mois;13/10/2023;;
